iter	RMSE
0	27083012.65
1	25909725.27
2	24749747.46
3	23716703.59
4	22718632.62
5	21792960.73
6	20830896.38
7	19990689.24
8	19203811.51
9	18433766.94
10	17674642.04
11	16926219.7
12	16210467.28
13	15589244.04
14	14957917.68
15	14310643.88
16	13691347.96
17	13096503.1
18	12689498.64
19	12180762.76
20	11683150.54
21	11224813.65
22	10825885.9
23	10432005.19
24	10036431.72
25	9680645.448
26	9294673.887
27	8922463.516
28	8597067.953
29	8282646.586
30	7977619.033
31	7673230.876
32	7383093.394
33	7091773.344
34	6839218.622
35	6577271.156
36	6318602.563
37	6074400.866
38	5838334.851
39	5618016.263
40	5408315.718
41	5235352.673
42	5063864.323
43	4904561.551
44	4741777.504
45	4581259.671
46	4420077.365
47	4265224.936
48	4118484.975
49	3978352.198
50	3857507.604
51	3748325.204
52	3621701.524
53	3508091.284
54	3397326.846
55	3307189.941
56	3198056.268
57	3099571.008
58	3019635.913
59	2933007.44
60	2847568.487
61	2758860.253
62	2692481.243
63	2613551.321
64	2544460.924
65	2471667.159
66	2404529.82
67	2340641.538
68	2280806.448
69	2221335.349
70	2165258.499
71	2123701.437
72	2082726.947
73	2043917.226
74	2010373.018
75	1970500.135
76	1936815.52
77	1895615.305
78	1864858.293
79	1825218.919
80	1795629.88
81	1765493.626
82	1739594.167
83	1713156.499
84	1684495.796
85	1657601.474
86	1634012.059
87	1614780.41
88	1585485.029
89	1563905.877
90	1541878.442
91	1520926.974
92	1503651.287
93	1488689.195
94	1472191.603
95	1452850.455
96	1434398.7
97	1421052.444
98	1409035.704
99	1393435.007
100	1378242.864
101	1362551.08
102	1349838.158
103	1338047.1
104	1326302.17
105	1312985.615
106	1303038.862
107	1291351.44
108	1279963.746
109	1271942.485
110	1264173.098
111	1256413.854
112	1249779.297
113	1242331.257
114	1235325.149
115	1227565.167
116	1220065.657
117	1211745.271
118	1206116.126
119	1199965.41
120	1194068.442
121	1188605.714
122	1183083.844
123	1177158.678
124	1168666.177
125	1162244.276
126	1151655.248
127	1146280.159
128	1140530.825
129	1136733.188
130	1132251.923
131	1126219.393
132	1122047.907
133	1117215.057
134	1112853.396
135	1106011.108
136	1100143.21
137	1096489.754
138	1090953.886
139	1087247.818
140	1084216.46
141	1080247.433
142	1076785.646
143	1074187.191
144	1070427.845
145	1066060.806
146	1062343.181
147	1059400.242
148	1056918.675
149	1045535.99
150	1040630.983
151	1038866.342
152	1035714.803
153	1030481.658
154	1026740.163
155	1021113.421
156	1016394.123
157	1012475.675
158	1009563.395
159	1006094.598
160	1004159.324
161	999333.3994
162	997065.9626
163	994155.0153
164	991039.7221
165	987889.1138
166	983964.8791
167	979475.5918
168	976424.2443
169	973051.8635
170	969629.2209
171	965201.4054
172	960075.1715
173	957850.7864
174	953021.15
175	949165.297
176	946378.811
177	940195.5995
178	933753.0165
179	924858.1256
180	921232.4304
181	919126.7836
182	914804.7311
183	912262.4258
184	908225.1233
185	905235.086
186	901916.8004
187	898473.3423
188	896997.1281
189	894722.486
190	891207.647
191	887393.873
192	885274.1206
193	882210.2143
194	878366.96
195	876577.9442
196	873468.5248
197	870819.6649
198	866926.9407
199	863749.2917
200	861391.7643
201	858220.7848
202	855368.8062
203	854151.8327
204	851554.5904
205	849867.9445
206	846486.5168
207	844896.6954
208	841845.2209
209	839235.6809
210	837498.2839
211	835353.9361
212	833485.6151
213	831064.1643
214	829352.8881
215	827982.9837
216	825649.4945
217	823417.4551
218	820588.4527
219	818360.6398
220	815654.5255
221	812976.9523
222	810082.8723
223	807402.3013
224	803561.6473
225	800979.9353
226	800077.4901
227	797557.0743
228	794482.1123
229	792243.2912
230	789935.0188
231	787351.5769
232	784828.6236
233	778316.2339
234	776239.5957
235	774859.0352
236	772528.9127
237	770389.3222
238	767205.3098
239	765655.9377
240	764167.4603
241	762074.5991
242	759650.8884
243	758545.7829
244	756127.9473
245	753645.3187
246	752216.7216
247	749420.0767
248	747736.1607
249	745200.9853
250	742697.0723
251	740794.1092
252	738347.908
253	735554.5818
254	733805.4603
255	730674.5378
256	728384.5196
257	725981.8968
258	724014.0718
259	722337.5422
260	721041.6486
261	719104.6645
262	717981.1248
263	716551.9299
264	715366.813
265	714373.5151
266	712206.7343
267	710401.0466
268	709465.3051
269	706902.7425
270	704118.8688
271	701705.403
272	699691.124
273	698137.2896
274	696361.1068
275	693064.0205
276	690595.8932
277	688781.9642
278	688011.7754
279	686041.8925
280	683988.9028
281	682668.5681
282	681657.6683
283	676145.6383
284	674621.9767
285	673512.0705
286	671474.1539
287	669737.9462
288	668006.4662
289	665184.3301
290	663166.8857
291	661490.4035
292	659671.7433
293	658113.6581
294	657112.4369
295	655534.8646
296	654125.6689
297	651761.2679
298	649800.6978
299	648046.4428
