iter	Passed	Remaining
0	0	179
1	1	172
2	1	166
3	2	160
4	2	159
5	3	157
6	3	158
7	4	160
8	4	160
9	5	161
10	6	159
11	6	158
12	7	156
13	7	155
14	8	152
15	8	151
16	9	149
17	9	148
18	9	147
19	10	146
20	10	145
21	11	144
22	11	143
23	12	143
24	12	142
25	13	141
26	13	141
27	14	140
28	14	139
29	15	139
30	15	138
31	16	138
32	17	139
33	18	143
34	18	142
35	19	141
36	19	141
37	20	140
38	21	141
39	21	141
40	22	140
41	22	140
42	23	139
43	23	138
44	24	137
45	24	136
46	25	136
47	25	135
48	26	134
49	26	133
50	27	132
51	27	132
52	28	131
53	28	130
54	29	129
55	29	129
56	30	128
57	30	127
58	31	126
59	31	126
60	32	125
61	32	124
62	32	124
63	33	123
64	34	123
65	34	122
66	35	121
67	35	121
68	35	120
69	36	119
70	36	119
71	37	119
72	38	120
73	39	120
74	39	119
75	40	118
76	40	118
77	41	117
78	41	117
79	42	116
80	42	116
81	43	115
82	43	114
83	44	114
84	44	113
85	45	113
86	45	112
87	46	111
88	46	111
89	47	110
90	47	109
91	48	109
92	48	108
93	49	108
94	49	107
95	50	107
96	50	106
97	51	106
98	51	105
99	52	104
100	53	105
101	54	105
102	54	104
103	55	104
104	55	103
105	56	103
106	56	102
107	57	101
108	57	101
109	58	100
110	58	99
111	59	99
112	59	98
113	60	98
114	60	97
115	61	97
116	62	97
117	62	96
118	63	96
119	63	95
120	64	95
121	64	94
122	65	93
123	65	93
124	66	92
125	66	92
126	67	91
127	67	90
128	68	90
129	68	89
130	69	89
131	69	88
132	70	88
133	70	87
134	71	87
135	72	87
136	72	86
137	73	86
138	73	85
139	74	84
140	74	84
141	75	84
142	76	84
143	77	83
144	77	83
145	78	82
146	78	82
147	79	81
148	79	80
149	80	80
150	80	79
151	81	79
152	81	78
153	82	77
154	82	77
155	83	76
156	83	76
157	84	75
158	84	75
159	85	74
160	85	74
161	86	73
162	87	73
163	87	72
164	88	72
165	88	71
166	89	71
167	89	70
168	90	70
169	90	69
170	91	68
171	91	68
172	92	67
173	92	67
174	93	66
175	93	66
176	94	65
177	94	64
178	95	64
179	95	63
180	96	63
181	96	62
182	97	62
183	97	61
184	98	61
185	98	60
186	99	59
187	99	59
188	100	58
189	100	58
190	101	57
191	101	57
192	102	56
193	103	56
194	103	55
195	104	55
196	104	54
197	105	54
198	105	53
199	106	53
200	106	52
201	107	51
202	107	51
203	108	50
204	108	50
205	109	49
206	109	49
207	110	48
208	110	48
209	111	47
210	111	47
211	112	46
212	112	45
213	113	45
214	113	44
215	114	44
216	114	43
217	115	43
218	115	42
219	116	42
220	116	41
221	117	41
222	118	40
223	118	40
224	119	39
225	119	39
226	120	38
227	120	38
228	121	37
229	121	37
230	122	36
231	122	36
232	123	35
233	123	34
234	124	34
235	124	33
236	125	33
237	125	32
238	126	32
239	126	31
240	127	31
241	127	30
242	128	30
243	128	29
244	129	29
245	129	28
246	130	27
247	130	27
248	131	26
249	131	26
250	132	25
251	132	25
252	133	24
253	133	24
254	134	23
255	134	23
256	135	22
257	135	22
258	136	21
259	136	21
260	137	20
261	137	20
262	138	19
263	138	18
264	139	18
265	139	17
266	140	17
267	140	16
268	141	16
269	142	15
270	142	15
271	143	14
272	143	14
273	144	13
274	144	13
275	145	12
276	145	12
277	145	11
278	146	11
279	146	10
280	147	9
281	147	9
282	148	8
283	148	8
284	149	7
285	149	7
286	150	6
287	151	6
288	151	5
289	152	5
290	152	4
291	153	4
292	153	3
293	154	3
294	154	2
295	155	2
296	155	1
297	156	1
298	156	0
299	157	0
