policy_number,age_at_issue,gender,smoker_status,annual_income,face_amount,annual_premium,state,occupation,issue_date
POL70DF1A4E,53,M,Non-Smoker,97984.51996117174,926769.6825191271,15480.760776799498,OH,Manager,2023-11-07
POL23647721,48,M,Non-Smoker,113071.81530467555,726901.1810157417,11095.419627024283,FL,Accountant,2020-10-10
POL3596FD8D,26,M,Non-Smoker,45300.996849469084,407645.99044632976,3639.4634027048323,FL,Salesperson,2022-01-10
POLC6A47825,27,M,Non-Smoker,39580.026736888634,467166.03935055534,4305.402218654718,NC,Engineer,2021-10-07
POL68134B90,49,F,Non-Smoker,62640.49528528747,374384.7723956469,4852.026650247583,NY,Salesperson,2024-05-02
POLCA841556,31,M,Non-Smoker,99655.58187086054,1328603.1467633802,13774.957425642724,FL,Accountant,2024-01-14
POL00208EEA,60,M,Non-Smoker,74338.48722087001,526273.1225824832,9851.832854744085,NY,Accountant,2025-02-11
POL04BA4AA6,42,M,Non-Smoker,118481.94704917913,1705546.3737175765,23086.27571464112,NY,Accountant,2021-01-31
POL01FDDD47,39,M,Smoker,55410.13452442388,427405.53615875676,13540.207385509413,PA,Engineer,2022-10-05
POL0E4E8704,69,M,Smoker,52860.850167595956,688352.3948833513,36675.415599384956,CA,Teacher,2020-10-19
POL49204368,33,M,Non-Smoker,89311.0260218965,1097638.9116600594,12012.560249207689,CA,Manager,2021-09-29
POLC60D392E,66,M,Non-Smoker,110938.47788493455,683235.7604014404,13970.804828688653,OH,Teacher,2023-03-07
POL04FEF5AB,36,F,Non-Smoker,71105.76931265368,586752.9493668309,5773.649021769616,FL,Salesperson,2020-10-13
POL9D01779F,46,F,Non-Smoker,66312.14884681399,644696.608284333,7891.086485400237,PA,Accountant,2021-08-24
POLAB069A70,25,M,Non-Smoker,35614.46678127037,192472.5412209917,1662.9627561493683,MI,Engineer,2023-11-26
POL67E48677,37,F,Non-Smoker,58225.25558867332,812686.9209945635,8191.8841636252,CA,Salesperson,2023-05-18
POL5381C927,56,M,Non-Smoker,92939.28133363235,966420.8372675747,16978.081269116752,NY,Nurse,2021-10-02
POL5BDBD138,31,F,Non-Smoker,55094.69226334635,364297.8333923311,3147.5332805097405,TX,Engineer,2023-08-07
POL4B302665,30,M,Non-Smoker,66225.04556655986,916077.9817822477,9234.066056365054,MI,Salesperson,2024-09-12
POLADECA7A9,63,M,Non-Smoker,55870.079812447235,431390.9039888399,8448.359463717441,NC,Salesperson,2020-09-06
POL72A5C8D4,65,M,Non-Smoker,88301.30867679616,869617.752951299,17531.49389949819,CA,Manager,2024-09-06
POLE6CD9C6B,68,F,Non-Smoker,58429.338756339326,390478.0369094921,6841.175206654302,GA,Teacher,2024-02-22
