treaty_id,treaty_name,treaty_type,business_line,cedant,reinsurer,currency,territory,inception_date,expiry_date,premium,commission,brokerage,retention,limit,cession_rate,minimum_premium,maximum_premium,profit_commission,loss_corridor,aggregate_limit,reinstatements,rating_method,experience_period,loss_ratio,expense_ratio,combined_ratio,total_historical_claims,total_claim_count,largest_historical_claim,average_claim_size,claim_volatility,annual_claim_frequency,total_sum_insured,total_policy_count,average_policy_size,largest_policy_size
TR587398,Chubb - Quota Share 2024,Quota Share,Marine,Chubb,Munich Re,CAD,United States,2024-01-01,2024-12-31,82243846.39916937,0.2756505444713086,0.0394277095457023,0.4425600155615676,0.0,0.5574399844384323,77193149.7779245,90408707.387426,0.0906120771995415,91%-118%,0.0,0,Exposure Rating,10 years,1.012246747693554,0.2653735638756858,1.2776203115692395,24415002.37544881,7,4966301.403512425,3487857.4822069732,1473160.813088854,1.4000000000000001,1157342280.595084,451,2566169.1365744653,4963459.320594837
TR750820,State Farm - Excess of Loss 2024,Excess of Loss,Motor,State Farm,Lloyd's of London,USD,France,2024-01-01,2024-12-31,32790790.83641995,0.0,0.0241750788764051,1884159.9022074468,26378238.630904257,0.0,28348751.474893585,35383876.99728653,0.0548561443007883,79%-119%,0.0,0,Experience Rating,15 years,0.4947979331266886,0.3059570322079713,0.80075496533466,38729370.145105086,15,4980665.840475129,2581958.0096736723,1655347.1257692976,3.0,246650431.8080821,107,2305144.22250544,4992287.447605283
TR506788,AIG - Excess of Loss 2024,Excess of Loss,Health,AIG,SCOR,CAD,Canada,2024-01-01,2024-12-31,74335151.05036788,0.0,0.0481548384814244,5736831.889804644,74578814.56746037,0.0,67043700.69644163,81269396.23557676,0.0,88%-109%,0.0,0,Experience Rating,5 years,0.88311270293178,0.4028969901014357,1.2860096930332157,43267892.9075307,14,4894265.8152680155,3090563.779109336,1168070.5469778562,2.8000000000000003,882183015.2075192,327,2697807.385955716,4986838.314367365
TR114043,State Farm - Excess of Loss 2024,Excess of Loss,Property,State Farm,Lloyd's of London,EUR,France,2024-01-01,2024-12-31,77619368.75257498,0.0,0.0437135718965467,8816954.663286712,176339093.26573426,0.0,62444719.34262629,0.0,0.0,Not Available,0.0,0,Exposure Rating,15 years,1.0681446244813322,0.2721110429114043,1.3402556673927366,25469884.078480624,11,4969878.3296876475,2315444.007134602,2185086.9877465325,2.2,304941726.5227734,115,2651667.187154551,4955772.141667444
TR483221,Allstate - Catastrophe 2024,Catastrophe,Casualty,Allstate,Swiss Re,CAD,France,2024-01-01,2024-12-31,85875461.48879726,0.0,0.0186917792529857,37961576.70935501,455538920.51226014,0.0,0.0,93854607.44666064,0.0,Not Available,1366616761.5367804,4,Cat Modeling,10 years,1.14149022246619,0.2274730825579138,1.368963305024104,18002456.915699665,8,4551007.205072925,2250307.114462458,2043003.3663567489,1.6,758906871.697109,290,2616920.2472314104,4994951.423700926
TR729292,Allstate - Quota Share 2024,Quota Share,Aviation,Allstate,Munich Re,USD,France,2024-01-01,2024-12-31,75555108.1416728,0.2472830797197038,0.0266359372016898,0.3937226698493131,0.0,0.6062773301506869,0.0,86868319.35376944,0.0,89%-114%,0.0,0,Cat Modeling,15 years,1.0448247426966053,0.3038080345209933,1.3486327772175986,32215023.88666563,14,4063535.3896806464,2301073.134761831,1061901.4925280109,2.8000000000000003,488616439.21274936,186,2626970.1032943516,4944495.443958823
TR612132,State Farm - Quota Share 2024,Quota Share,Property,State Farm,Munich Re,USD,France,2024-01-01,2024-12-31,55844486.43587352,0.2406453646376171,0.0347551450922069,0.2201847414329067,0.0,0.7798152585670932,45390321.47201269,63042906.007048294,0.1399869220793424,79%-117%,0.0,0,Original Terms,10 years,0.4620446246190683,0.2571795884354824,0.7192242130545508,40117264.544739015,15,4465271.745609164,2674484.302982601,1316695.569498393,3.0,854144435.4948245,339,2519600.104704497,4998675.583493596
TR123441,Hartford - Quota Share 2024,Quota Share,Marine,Hartford,Lloyd's of London,USD,Canada,2024-01-01,2024-12-31,23274123.19263449,0.2412454769045154,0.0471544907012229,0.2456144338703492,0.0,0.7543855661296508,0.0,27461303.221049026,0.1120092097545593,Not Available,0.0,0,Cat Modeling,5 years,1.1424283543912168,0.2899464670434419,1.4323748214346588,33078910.14166517,14,3809149.723236922,2362779.2958332268,1046966.0211523346,2.8000000000000003,867962030.233043,354,2451870.1419012514,4995471.995731133
TR212054,State Farm - Surplus 2024,Surplus,Health,State Farm,Hannover Re,USD,France,2024-01-01,2024-12-31,80015613.73636022,0.1877224324020193,0.0170132529170203,609798.655325979,6097986.55325979,0.0,73975119.38832775,86953413.84597786,0.1660420128051933,95%-115%,0.0,0,Original Terms,10 years,0.7888356665803014,0.3458341090281554,1.1346697756084567,19263342.99148617,7,4680145.3455934245,2751906.1416408815,1794410.4840567894,1.4000000000000001,645711016.2859304,253,2552217.455675614,4996700.5040608505
TR777847,State Farm - Quota Share 2024,Quota Share,Health,State Farm,Munich Re,USD,United States,2024-01-01,2024-12-31,36857818.167741,0.3296781140506771,0.0441751426746403,0.625784251599891,0.0,0.3742157484001089,32862159.7130059,42438351.11134851,0.0,76%-118%,0.0,0,Exposure Rating,3 years,0.6118026615647327,0.3639941561284361,0.9757968176931688,33151834.713416986,14,4915447.837689671,2367988.193815499,1219239.4977649949,2.8000000000000003,707631600.3769828,291,2431723.7126356796,4995665.292027213
TR485783,State Farm - Surplus 2024,Surplus,Health,State Farm,Hannover Re,USD,Canada,2024-01-01,2024-12-31,14775035.61862109,0.2991112316165499,0.0364982694721951,1155273.6609022587,11552736.609022588,0.0,0.0,16884902.390361313,0.1997686453341477,Not Available,0.0,0,Original Terms,15 years,0.5243565948622779,0.3646320672995935,0.8889886621618714,24715544.559501246,11,4670295.550203178,2246867.687227386,1667880.9020639414,2.2,846612021.2807622,326,2596969.390431786,4993473.829328123
TR597401,AIG - Surplus 2024,Surplus,Marine,AIG,SCOR,GBP,Canada,2024-01-01,2024-12-31,95999103.53157456,0.2274741142063399,0.0233989152476611,903196.7406782616,4515983.703391309,0.0,0.0,110056750.3400296,0.0,78%-105%,0.0,0,Cat Modeling,5 years,0.869395435664218,0.3506771320617382,1.220072567725956,22933946.18323538,11,4699159.7757641105,2084904.1984759436,1564471.5875031992,2.2,555827060.8671331,217,2561415.02703748,4983747.513859282
TR632895,State Farm - Excess of Loss 2024,Excess of Loss,Marine,State Farm,SCOR,CAD,United States,2024-01-01,2024-12-31,88483965.84572078,0.0,0.0357824455605128,7113458.204227125,128042247.67608826,0.0,74146414.254624,94966197.1944533,0.1496249064465052,87%-121%,0.0,0,Exposure Rating,3 years,0.8124931191267659,0.3648271710679852,1.1773202901947513,13189571.737875532,6,4759556.394706469,2198261.956312589,1797521.7970596321,1.2000000000000002,314557915.416633,123,2557381.426151488,4984200.749799044
TR576789,Allstate - Excess of Loss 2024,Excess of Loss,Motor,Allstate,Munich Re,USD,Germany,2024-01-01,2024-12-31,88010473.89669567,0.0,0.0143005324711262,5554446.205403573,88871139.28645717,0.0,75525210.66060892,94670735.67779642,0.1878120954727044,76%-106%,0.0,0,Experience Rating,15 years,0.9320696303590468,0.3765119658668535,1.3085815962259002,33501428.27443303,11,4867822.265245499,3045584.388584821,1411409.6816518935,2.2,863006885.288755,345,2501469.2327210293,4998296.990941144
TR572325,State Farm - Catastrophe 2024,Catastrophe,Aviation,State Farm,Lloyd's of London,USD,Germany,2024-01-01,2024-12-31,94599156.53162894,0.0,0.0332332993224658,52642943.82402862,894930045.0084865,0.0,81766299.99882461,106985260.41908608,0.0686692597616844,Not Available,3579720180.033946,1,Exposure Rating,15 years,0.5197954598308766,0.4135617500163394,0.933357209847216,16732293.492689645,6,4519549.625750849,2788715.582114941,1892935.677706586,1.2000000000000002,1080170614.732518,408,2647476.9968934264,4994463.441966317
TR302786,Chubb - Excess of Loss 2024,Excess of Loss,Property,Chubb,Munich Re,GBP,United States,2024-01-01,2024-12-31,1697681.0860867668,0.0,0.0263758654296844,1073501.295327557,17176020.725240912,0.0,1604090.1622245114,1790157.2169640304,0.0,76%-108%,0.0,0,Cat Modeling,10 years,0.5877552418298637,0.3571485825923728,0.9449038244222364,30646236.403706886,11,4929973.880422794,2786021.4912460805,1591266.1185438267,2.2,548190223.7365701,192,2855157.415294636,4976943.825989961
TR102766,Chubb - Excess of Loss 2024,Excess of Loss,Marine,Chubb,Lloyd's of London,GBP,Germany,2024-01-01,2024-12-31,93429878.00871909,0.0,0.0444670112937507,8408176.022159135,117714464.31022789,0.0,0.0,0.0,0.1993304200203874,89%-122%,0.0,0,Original Terms,15 years,0.9535848780515344,0.3462572605102738,1.2998421385618082,29630100.694898136,11,4789971.073774129,2693645.5177180124,1564867.3790660026,2.2,672003845.07595,268,2507477.0338654853,4992729.921802076
TR554992,AIG - Excess of Loss 2024,Excess of Loss,Casualty,AIG,Lloyd's of London,EUR,Canada,2024-01-01,2024-12-31,15305498.355579436,0.0,0.0316715776734124,6825704.601823679,54605636.81458943,0.0,0.0,18051446.19899523,0.0878003676040961,77%-117%,0.0,0,Exposure Rating,10 years,0.8148865589893644,0.1615245442491999,0.9764111032385644,39826967.9186225,15,4835095.736969862,2655131.1945748334,1281903.4538157657,3.0,386378695.54479814,158,2445434.7819291023,4987987.484252631
TR440452,Allstate - Catastrophe 2024,Catastrophe,Property,Allstate,Munich Re,USD,Canada,2024-01-01,2024-12-31,27260420.5441452,0.0,0.0327558153099588,14663536.547025602,102644755.8291792,0.0,24588291.036158547,29942475.199971363,0.1255540294253948,87%-120%,205289511.6583584,4,Exposure Rating,15 years,1.038362453755993,0.1910473200396089,1.2294097737956018,28720015.673018638,14,4847118.484726912,2051429.6909299027,1831247.3985021652,2.8000000000000003,581075009.1289706,227,2559801.802330267,4984193.030190874
