claim_id,treaty_id,occurrence_date,report_date,claim_status,claim_type,cause_of_loss,territory,currency,gross_claim_amount,reinsurance_recovery,net_claim_amount,case_reserves,paid_to_date,outstanding_reserves,expense_reserves,salvage_subrogation
d880c24d-2ec,989ebe2e,2021-06-22,2021-06-25,Closed,Attritional,Fire,France,GBP,7575,6297.946251281577,1277.0537487184229,6801.8729085574005,3239.242026711704,2044.8526073564688,433.9173836073111,313.93906583077245
9c9f3956-53d,989ebe2e,2022-01-29,2022-04-11,Closed,Catastrophe,Medical,France,GBP,21784,18111.480018206978,3672.5199817930225,21735.004899889344,4783.461328599041,5036.713542811821,1101.2788318318883,1635.9010158656815
add7691e-4f9,989ebe2e,2021-05-06,2021-05-14,Reopened,Attritional,Water,France,GBP,1754,1458.2967293396548,295.7032706603452,1967.3634750910771,1098.566330238045,338.36409950864766,185.46897627345754,160.92424053548422
695c938f-61c,989ebe2e,2021-05-14,2021-06-05,Reopened,Attritional,Death,France,GBP,195630,162649.13863210758,32980.861367892416,208743.2927303473,173935.2605340503,42860.667412434515,28367.12485997346,17438.96538662958
4e2dbcec-6f6,989ebe2e,2022-01-20,2022-02-12,Reopened,Catastrophe,Death,France,GBP,34107,28356.970665671382,5750.029334328618,39526.03071079074,22827.470549163267,6648.6442033447765,2589.374614349642,843.2605727241959
79597dc7-9ce,989ebe2e,2022-02-02,2022-04-19,IBNR,Catastrophe,Death,France,GBP,128479,106818.98830606016,21660.011693939843,134992.8049739929,31752.00484426656,14838.89676423748,10094.956709474696,3490.9685242811997
569f5c21-b29,989ebe2e,2021-08-23,2021-08-25,Open,Attritional,Water,France,GBP,2927,2433.5430597361287,493.4569402638713,2612.3609404657614,1828.0719905393935,706.2377655479909,165.14978460395213,119.30433550140994
663d8854-659,989ebe2e,2021-12-15,2021-12-24,Reopened,Large,Fire,France,GBP,1000,831.4120463738055,168.58795362619446,882.7337558057641,378.1291659960831,280.9676956680354,108.4079414204225,69.55229864979681
e48f38d3-f90,989ebe2e,2022-01-01,2022-02-22,Reopened,Large,Fire,France,GBP,1490,1238.8039490969702,251.1960509030298,1753.8740278307218,400.4395668313662,265.21602112298825,207.35458975330826,124.52357194896172
a7741c75-dea,989ebe2e,2021-12-13,2022-01-05,Closed,Large,Theft,France,GBP,3785,3146.8945955248537,638.1054044751463,3441.224062009571,1654.3394518745915,672.864902857319,442.4186654057741,302.0968697930415
2250fb71-bb1,989ebe2e,2021-06-05,2021-06-09,Reopened,Attritional,Other,France,GBP,70561,58665.26540418209,11895.734595817907,71524.11896937722,57594.42672568647,15409.009228216204,8206.242584211637,592.3416877612898
418c9778-4a6,989ebe2e,2021-10-18,2021-11-26,Closed,Large,Water,France,GBP,130026,108105.18274180044,21920.81725819956,106636.12390159692,44364.023140434336,18506.868022976418,10751.145262549702,9897.965399862878
f2d9b9cb-e6a,989ebe2e,2021-09-23,2021-11-06,IBNR,Large,Collision,France,GBP,14554,12100.370922924365,2453.629077075635,16503.717382252402,6160.361124820216,3635.659819159962,803.505394237234,1385.4239202926478
d45d1072-162,989ebe2e,2021-07-05,2021-07-08,Open,Catastrophe,Fire,France,GBP,6329,5262.006841499815,1066.993158500185,6972.616779397097,5409.083390723544,885.2507517344941,329.3485129620384,96.44278664719384
cd5704fe-b35,989ebe2e,2021-05-16,2021-07-14,Reopened,Catastrophe,Wind,France,GBP,1078,896.2621859909623,181.73781400903772,1105.5836837282243,211.46919758748982,258.60464780067014,136.57161500280273,18.087669655049087
