claim_id,treaty_id,loss_date,reported_date,paid_date,claim_amount,reserve_amount,recovery_amount,cause_of_loss,catastrophe_code,latitude,longitude,status,adjuster,claim_type,development_year,ultimate_loss
CLM6544540,TR587398,2024-03-15,2024-03-20,2024-06-15,3617036.702070912,4340444.042485094,0.0,Collision,Not Applicable,27.289488785802355,-83.76678971690723,Closed,TPA,Property,1,3617036.702070912
CLM1137078,TR587398,2024-03-15,2024-03-20,2024-06-15,3597432.8515241584,4316919.42182899,0.0,Fire,Not Applicable,25.622428974580806,-77.52417430014313,Closed,Internal,Liability,1,3597432.8515241584
CLM2805141,TR587398,2024-03-15,2024-03-20,2024-06-15,4966301.403512425,5959561.68421491,0.0,Collision,Not Applicable,46.7345809211624,-119.82367372002524,Open,TPA,Auto Physical Damage,1,4966301.403512425
CLM1160578,TR587398,2024-03-15,2024-03-20,2024-06-15,3032975.628297632,3639570.7539571584,0.0,Wind,Not Applicable,45.305599058444834,-103.32955561688114,Open,TPA,Auto Physical Damage,1,3032975.628297632
CLM5629509,TR587398,2024-03-15,2024-03-20,2024-06-15,3866957.8194590947,4640349.383350913,0.0,Wind,Not Applicable,34.84352845618912,-67.73130955877397,Closed,Internal,Auto Physical Damage,1,3866957.8194590947
CLM6296858,TR587398,2024-03-15,2024-03-20,2024-06-15,4801272.550826448,5761527.060991737,0.0,Wind,Not Applicable,45.21591049792532,-77.56787486071678,Open,External,Property,1,4801272.550826448
CLM4541026,TR587398,2024-03-15,2024-03-20,2024-06-15,533025.419758141,639630.5037097692,0.0,Fire,Not Applicable,34.438652291741356,-84.18863543803565,Closed,Internal,Liability,1,533025.419758141
CLM8953263,TR750820,2024-03-15,2024-03-20,2024-06-15,4003650.936742101,4804381.124090521,0.0,Collision,Not Applicable,34.66850641850386,-100.18982087262017,Closed,Internal,Auto Physical Damage,1,4003650.936742101
CLM2816226,TR750820,2024-03-15,2024-03-20,2024-06-15,4592096.062553703,5510515.275064443,0.0,Earthquake,Not Applicable,40.60960691754025,-105.22035617001465,Pending,External,Liability,1,4592096.062553703
CLM3680890,TR750820,2024-03-15,2024-03-20,2024-06-15,1912520.273284073,2295024.3279408873,0.0,Flood,Not Applicable,45.4089438876719,-66.85469387436751,Pending,Internal,Liability,1,1912520.273284073
CLM6910135,TR750820,2024-03-15,2024-03-20,2024-06-15,4980665.840475129,5976799.008570154,0.0,Fire,Not Applicable,44.7686181757267,-106.24048987159838,Pending,TPA,Liability,1,4980665.840475129
CLM3542988,TR750820,2024-03-15,2024-03-20,2024-06-15,1518853.449646424,1822624.139575709,0.0,Wind,Not Applicable,28.669344964784862,-113.11918568035709,Open,External,Auto Physical Damage,1,1518853.449646424
CLM2980741,TR750820,2024-03-15,2024-03-20,2024-06-15,429112.30116861156,514934.76140233385,0.0,Liability,Not Applicable,28.988704641049786,-79.3365665347401,Closed,External,Liability,1,429112.30116861156
